LAT,LON,YEAR,MO,DY,T2M_RANGE,T2MWET,T2M_MAX,T2M_MIN,T2M,PRECTOT,QV2M,RH2M
15.55131,32.53211,2010,1,1,17.03,2.78,30.99,13.96,21.8,0,4.92,29.11
15.55131,32.53211,2010,1,2,15.16,3.93,30.22,15.06,21.86,0,5.28,31.07
15.55131,32.53211,2010,1,3,17.43,1.47,32.27,14.85,22.91,0,4.39,24.25
15.55131,32.53211,2010,1,4,18.17,1.63,32.85,14.68,23.02,0,4.44,24.34
15.55131,32.53211,2010,1,5,16.89,0.75,31.61,14.72,22.27,0,4.16,23.89
15.55131,32.53211,2010,1,6,17.55,5.44,32.54,14.99,23.23,0,5.87,31.72
15.55131,32.53211,2010,1,7,15.34,10.37,32.98,17.64,24.93,0,8.26,40.27
15.55131,32.53211,2010,1,8,14.71,6.87,32.71,18,24.82,0,6.5,31.91
15.55131,32.53211,2010,1,9,15.07,10.59,33.76,18.7,25.54,0,8.57,40.26
15.55131,32.53211,2010,1,10,15.79,10.12,35.6,19.81,26.8,0,8.18,35.7
15.55131,32.53211,2010,1,11,16.37,7.31,35.9,19.53,26.96,0,6.89,29.81
15.55131,32.53211,2010,1,12,17.24,4.66,35.47,18.23,26.11,0,5.74,26.11
15.55131,32.53211,2010,1,13,16.99,-0.77,35.05,18.06,25.84,0,3.72,17.21
15.55131,32.53211,2010,1,14,17.69,-2.27,35.01,17.32,25.44,0,3.3,15.67
15.55131,32.53211,2010,1,15,17.39,-1.51,34.3,16.91,24.62,0,3.5,17.47
15.55131,32.53211,2010,1,16,19.2,-0.18,35.15,15.95,24.75,0,3.92,19.39
15.55131,32.53211,2010,1,17,16.55,1.67,36.79,20.24,28.46,0,4.44,17.67
15.55131,32.53211,2010,1,18,11.62,-0.73,32.46,20.84,26.03,0,3.73,17.13
15.55131,32.53211,2010,1,19,12.62,-1.65,29.26,16.63,22.46,0,3.46,19.66
15.55131,32.53211,2010,1,20,12.22,-1.85,28.64,16.42,21.63,0,3.41,20.43
15.55131,32.53211,2010,1,21,16,-2.5,29.53,13.53,20.95,0,3.24,20.23
15.55131,32.53211,2010,1,22,16.44,-1.55,29.88,13.44,21.1,0,3.5,21.66
15.55131,32.53211,2010,1,23,16.34,-0.47,30.39,14.05,22.02,0,3.82,22.31
15.55131,32.53211,2010,1,24,16.54,-4.45,31.3,14.76,22.36,0,2.84,16.22
15.55131,32.53211,2010,1,25,15.99,-6.81,30.83,14.84,22.08,0,2.23,12.97
15.55131,32.53211,2010,1,26,18.21,1.13,32.13,13.92,22.21,0,4.43,25.55
15.55131,32.53211,2010,1,27,17.44,1.69,32.22,14.78,22.71,0,4.58,25.6
15.55131,32.53211,2010,1,28,18.66,1.32,33.59,14.92,23.72,0,4.42,23.24
15.55131,32.53211,2010,1,29,18.1,1.66,34.3,16.21,24.6,0,4.51,22.47
15.55131,32.53211,2010,1,30,19.91,3.6,37.6,17.69,27.08,0,5.14,22.11
15.55131,32.53211,2010,1,31,19.39,3.41,39.58,20.19,29.01,0,5.12,19.67
15.55131,32.53211,2010,2,1,19.48,1.8,39.21,19.73,28.82,0,4.52,17.54
15.55131,32.53211,2010,2,2,19.14,-0.27,38.26,19.12,27.9,0,3.88,15.88
15.55131,32.53211,2010,2,3,15.9,-5.66,33.47,17.56,24.39,0,2.52,12.73
15.55131,32.53211,2010,2,4,14.17,-2.55,28.5,14.33,20.66,0,3.26,20.73
15.55131,32.53211,2010,2,5,15.15,-4.43,27.48,12.33,19.13,0,2.79,19.46
15.55131,32.53211,2010,2,6,16,-7.03,26.29,10.29,17.88,0,2.19,16.58
15.55131,32.53211,2010,2,7,17.01,-7.36,28.11,11.1,19.11,0,2.12,14.85
15.55131,32.53211,2010,2,8,19.64,-4.76,31.51,11.87,21.3,0,2.71,16.53
15.55131,32.53211,2010,2,9,17.45,-7.56,32.48,15.03,22.63,0,2.09,11.77
15.55131,32.53211,2010,2,10,19.22,-8.04,32.8,13.58,22.65,0,1.99,11.15
15.55131,32.53211,2010,2,11,18.78,-6.1,35.05,16.27,24.88,0,2.43,11.93
15.55131,32.53211,2010,2,12,17.54,-6.16,35.5,17.96,26.01,0,2.46,11.31
15.55131,32.53211,2010,2,13,18.46,-1.33,36.41,17.95,26.43,0,3.63,16.24
15.55131,32.53211,2010,2,14,18.52,4.07,35.82,17.3,26.13,0,5.46,24.8
15.55131,32.53211,2010,2,15,18.89,2.97,36.78,17.89,27.2,0,4.99,21.25
15.55131,32.53211,2010,2,16,16.78,10.06,37.15,20.37,28.44,0,8.15,32.22
15.55131,32.53211,2010,2,17,16.95,9.09,38.19,21.23,29.25,0,7.67,28.98
15.55131,32.53211,2010,2,18,17.03,7.97,38.58,21.54,29.83,0,7.02,25.69
15.55131,32.53211,2010,2,19,17.25,5.58,38.71,21.46,29.45,0,5.97,22.36
15.55131,32.53211,2010,2,20,17.2,5.71,37.88,20.69,28.96,0,6.15,23.67
15.55131,32.53211,2010,2,21,17.01,5.42,38.46,21.46,29.26,0,6.08,22.98
15.55131,32.53211,2010,2,22,18.8,3.1,39.55,20.75,29.51,0,5.23,19.48
15.55131,32.53211,2010,2,23,19.39,1.92,39.69,20.3,29.33,0,4.73,17.8
15.55131,32.53211,2010,2,24,18.62,-2.2,39.1,20.48,28.93,0,3.34,12.87
15.55131,32.53211,2010,2,25,18.32,-1.82,38.29,19.97,28.71,0,3.45,13.45
15.55131,32.53211,2010,2,26,14.38,-2.8,35.1,20.72,27.02,0,3.21,13.89
15.55131,32.53211,2010,2,27,16.43,-7.38,31.92,15.49,22.84,0,2.13,11.83
15.55131,32.53211,2010,2,28,18.23,-7.29,31.37,13.13,22.27,0,2.13,12.28
15.55131,32.53211,2010,3,1,16.03,-2.53,32.14,16.12,23.94,0,3.24,16.85
15.55131,32.53211,2010,3,2,17.7,-4.87,32.32,14.62,23.08,0,2.66,14.58
15.55131,32.53211,2010,3,3,18.7,-2,34.37,15.67,24.64,0,3.4,16.96
15.55131,32.53211,2010,3,4,17.94,-1.37,34.68,16.74,25.25,0,3.57,17.16
15.55131,32.53211,2010,3,5,18.68,-5.65,35.77,17.09,25.75,0,2.49,11.59
15.55131,32.53211,2010,3,6,19.61,-5.12,37.09,17.48,26.58,0,2.62,11.61
15.55131,32.53211,2010,3,7,21.08,-0.84,38.02,16.94,27.52,0,3.81,15.95
15.55131,32.53211,2010,3,8,18.9,7.65,39.91,21.01,30.16,0,7.47,26.79
15.55131,32.53211,2010,3,9,19.37,4.87,41.4,22.03,31.49,0,5.79,19.23
15.55131,32.53211,2010,3,10,19.19,4.74,42.29,23.1,32.7,0,5.61,17.42
15.55131,32.53211,2010,3,11,17.26,3.18,42.58,25.32,33.38,0,5.02,15
15.55131,32.53211,2010,3,12,18.44,2.15,42.1,23.66,32.47,0,4.68,14.72
15.55131,32.53211,2010,3,13,18.87,0.15,42.91,24.04,33.14,0,4.01,12.14
15.55131,32.53211,2010,3,14,18.48,-0.38,42.72,24.24,33.07,0,3.88,11.79
15.55131,32.53211,2010,3,15,18.92,0.35,43.26,24.34,33.47,0,4.07,12.07
15.55131,32.53211,2010,3,16,18.64,0.76,42.8,24.16,33.15,0,4.19,12.68
15.55131,32.53211,2010,3,17,18.51,0.78,41.45,22.94,31.64,0,4.21,13.89
15.55131,32.53211,2010,3,18,14.34,4.65,37.51,23.17,29.51,0,5.58,20.82
15.55131,32.53211,2010,3,19,15.97,3.17,35.63,19.66,27.01,0,5.09,22.02
15.55131,32.53211,2010,3,20,15.85,0.58,34.3,18.44,26.02,0,4.19,19.22
15.55131,32.53211,2010,3,21,15.73,-2.53,34.7,18.97,26.27,0,3.28,14.81
15.55131,32.53211,2010,3,22,11.73,-2.17,32.17,20.45,25.79,0,3.39,15.76
15.55131,32.53211,2010,3,23,14.46,-5.42,33.17,18.7,25.44,0,2.53,12.01
15.55131,32.53211,2010,3,24,17.27,-7.09,34.41,17.14,25.52,0,2.18,10.27
15.55131,32.53211,2010,3,25,16.35,-8.57,34.7,18.35,26.01,0,1.88,8.63
15.55131,32.53211,2010,3,26,17.69,-8.7,34.01,16.32,24.8,0,1.85,9.11
15.55131,32.53211,2010,3,27,17.1,-5.77,32.44,15.34,23.65,0,2.47,13.06
15.55131,32.53211,2010,3,28,17.99,-3.06,33.17,15.18,23.96,0,3.1,16.1
15.55131,32.53211,2010,3,29,18.75,-6.34,34.47,15.72,24.83,0,2.32,11.46
15.55131,32.53211,2010,3,30,20.28,-5.83,36.91,16.63,26.8,0,2.43,10.67
15.55131,32.53211,2010,3,31,18.88,-4.64,36.93,18.05,27.42,0,2.7,11.42
15.55131,32.53211,2010,4,1,18.77,-3.78,37.41,18.64,27.87,0,2.94,12.09
15.55131,32.53211,2010,4,2,20.28,-4.65,39.57,19.29,29.24,0,2.75,10.4
15.55131,32.53211,2010,4,3,20.25,-5.28,40.56,20.31,30.36,0,2.56,9.08
15.55131,32.53211,2010,4,4,19.67,-6.23,41.21,21.54,31.32,0,2.36,7.94
15.55131,32.53211,2010,4,5,19.41,0,41.27,21.86,31.61,0,3.98,13.15
15.55131,32.53211,2010,4,6,17,6.22,40.79,23.79,32.19,0,6.27,19.98
15.55131,32.53211,2010,4,7,13.95,0.27,37.38,23.44,30.13,0,4.06,14.59
15.55131,32.53211,2010,4,8,16.61,-3.26,38.03,21.41,29.76,0,3.05,11.21
15.55131,32.53211,2010,4,9,16.69,-0.2,39.41,22.72,30.47,0,3.97,14.03
15.55131,32.53211,2010,4,10,17.23,0.96,39.82,22.59,30.73,0,4.44,15.4
15.55131,32.53211,2010,4,11,18.69,-6.14,40.87,22.19,31.43,0,2.38,7.93
15.55131,32.53211,2010,4,12,17.05,-4.24,41,23.96,31.93,0,2.82,9.14
15.55131,32.53211,2010,4,13,17.63,-2,40.1,22.48,30.77,0,3.41,11.82
15.55131,32.53211,2010,4,14,18.29,-3.82,39.1,20.81,29.67,0,2.92,10.79
15.55131,32.53211,2010,4,15,19.28,-1.74,40.04,20.76,30.4,0,3.47,12.3
15.55131,32.53211,2010,4,16,18.73,-1.73,41.33,22.6,31.77,0,3.45,11.31
15.55131,32.53211,2010,4,17,19.45,-1.25,42.27,22.82,32.66,0,3.59,11.19
15.55131,32.53211,2010,4,18,17.78,0.88,42.42,24.64,33.23,0,4.27,12.89
15.55131,32.53211,2010,4,19,18.55,-1.02,41.71,23.16,32.31,0,3.68,11.7
15.55131,32.53211,2010,4,20,19.72,-3.43,42.61,22.88,32.54,0,3,9.41
15.55131,32.53211,2010,4,21,19.38,-1.79,43.38,24,33.52,0,3.44,10.19
15.55131,32.53211,2010,4,22,16.91,2.61,42.82,25.91,34.09,0,4.8,13.77
15.55131,32.53211,2010,4,23,15.47,5.34,40.66,25.19,32.64,0,5.82,18.16
15.55131,32.53211,2010,4,24,16.49,-2.35,39.28,22.79,30.7,0,3.32,11.56
15.55131,32.53211,2010,4,25,18.05,-3.84,39.6,21.55,30.4,0,2.91,10.31
15.55131,32.53211,2010,4,26,19.3,-6.19,40.59,21.29,30.93,0,2.36,8.11
15.55131,32.53211,2010,4,27,20.64,-6.34,42.46,21.81,32.25,0,2.33,7.43
15.55131,32.53211,2010,4,28,19.35,-1.71,43,23.65,33.43,0.02,3.48,10.36
15.55131,32.53211,2010,4,29,18.92,4.85,44.47,25.55,35.59,0.02,5.72,15.06
15.55131,32.53211,2010,4,30,14.25,10.59,44.25,30,36.98,0.38,8.55,20.8
15.55131,32.53211,2010,5,1,13.14,11.75,42.6,29.46,35.94,0,9.17,23.66
15.55131,32.53211,2010,5,2,13.21,14.98,42.28,29.07,36,0,11.32,29.13
15.55131,32.53211,2010,5,3,13.52,5.54,41.64,28.12,34.68,0,6.3,17.49
15.55131,32.53211,2010,5,4,15.63,-3.55,40.25,24.61,32.24,0,3,9.56
15.55131,32.53211,2010,5,5,17.29,-6.67,39.84,22.54,31.04,0,2.25,7.7
15.55131,32.53211,2010,5,6,17.77,-5.23,39.93,22.16,30.74,0,2.59,9.01
15.55131,32.53211,2010,5,7,19.81,-8.62,40.95,21.15,30.92,0,1.86,6.38
15.55131,32.53211,2010,5,8,20.52,-8.31,42.07,21.55,32.12,0,1.91,6.13
15.55131,32.53211,2010,5,9,20.25,-7.8,42.91,22.67,33.26,0,2.01,6.05
15.55131,32.53211,2010,5,10,19.95,-7.3,43.47,23.53,34.04,0,2.11,6.09
15.55131,32.53211,2010,5,11,15.89,-3.59,43.6,27.72,35.27,0,2.99,8.05
15.55131,32.53211,2010,5,12,18.21,-1.74,42.91,24.7,33.55,0,3.46,10.24
15.55131,32.53211,2010,5,13,17.47,-5.9,41.38,23.9,32.32,0,2.42,7.69
15.55131,32.53211,2010,5,14,19.24,-8.86,41.49,22.26,31.49,0,1.81,6.03
15.55131,32.53211,2010,5,15,20.78,-7.86,42.35,21.57,32.16,0,2.01,6.44
15.55131,32.53211,2010,5,16,18.67,-5.94,42.17,23.5,33.33,0,2.41,7.24
15.55131,32.53211,2010,5,17,17,-5.29,42.67,25.67,34.34,0,2.55,7.22
15.55131,32.53211,2010,5,18,17.02,-1.33,44.73,27.71,36.76,0,3.64,9.01
15.55131,32.53211,2010,5,19,18.36,1.94,45.57,27.21,36.54,0,4.6,11.49
15.55131,32.53211,2010,5,20,16.69,9.06,44.02,27.33,35.95,0.01,7.71,19.92
15.55131,32.53211,2010,5,21,15.8,7.13,43.85,28.05,36.18,0,6.76,17.26
15.55131,32.53211,2010,5,22,17.04,3.8,44.45,27.41,35.87,0,5.39,14.01
15.55131,32.53211,2010,5,23,17.52,5.18,43.36,25.84,34.62,0.01,6.49,18.06
15.55131,32.53211,2010,5,24,15.96,1.4,42.92,26.96,34.84,0,4.39,12.1
15.55131,32.53211,2010,5,25,16.48,0.79,42.99,26.52,34.58,0,4.2,11.74
15.55131,32.53211,2010,5,26,17.38,0.89,43.65,26.27,34.89,0,4.25,11.66
15.55131,32.53211,2010,5,27,17.74,6.7,44.51,26.77,36.24,0.21,6.82,17.33
15.55131,32.53211,2010,5,28,12.25,16.96,42.99,30.74,36.51,0.31,12.77,31.94
15.55131,32.53211,2010,5,29,12.83,11.65,42.68,29.85,36.36,0.06,9.29,23.48
15.55131,32.53211,2010,5,30,14.62,4.31,43.32,28.69,36,0.24,5.75,14.83
15.55131,32.53211,2010,5,31,15.06,8.48,43.3,28.24,35.81,0.01,7.95,20.73
15.55131,32.53211,2010,6,1,15.68,4.62,44.2,28.52,36.27,0,6.4,16.27
15.55131,32.53211,2010,6,2,17.03,3.91,44.13,27.11,35.91,0,5.55,14.4
15.55131,32.53211,2010,6,3,13.37,9.66,42.91,29.54,35.76,0.02,8.38,21.89
