LAT,LON,YEAR,DOY,PRECTOT,RH2M,T2M_MAX,T2M_MIN,T2M,PS,T2M_RANGE,ALLSKY_TOA_SW_DWN,ALLSKY_SFC_SW_DWN
15.65761,32.54961,2010,1,0,29.11,30.99,13.96,21.8,96.43,17.03,27.88,19.87
15.65761,32.54961,2010,2,0,31.07,30.22,15.06,21.86,96.38,15.16,27.79,18.22
15.65761,32.54961,2010,3,0,24.25,32.27,14.85,22.91,96.3,17.43,28.38,19.39
15.65761,32.54961,2010,4,0,24.34,32.85,14.68,23.02,96.24,18.17,28.17,19.39
15.65761,32.54961,2010,5,0,23.89,31.61,14.72,22.27,96.26,16.89,28.92,19.83
15.65761,32.54961,2010,6,0,31.72,32.54,14.99,23.23,96.21,17.55,28.09,19.97
15.65761,32.54961,2010,7,0,40.27,32.98,17.64,24.93,96.17,15.34,28,19.5
15.65761,32.54961,2010,8,0,31.91,32.71,18,24.82,96.17,14.71,28.29,19.76
15.65761,32.54961,2010,9,0,40.26,33.76,18.7,25.54,96.12,15.07,28.04,19.74
15.65761,32.54961,2010,10,0,35.7,35.6,19.81,26.8,96.14,15.79,28.29,19.75
15.65761,32.54961,2010,11,0,29.81,35.9,19.53,26.96,96.16,16.37,29.32,19.71
15.65761,32.54961,2010,12,0,26.11,35.47,18.23,26.11,96.09,17.24,29.3,19.98
15.65761,32.54961,2010,13,0,17.21,35.05,18.06,25.84,96.16,16.99,29.5,20.13
15.65761,32.54961,2010,14,0,15.67,35.01,17.32,25.44,96.27,17.69,29,19.26
15.65761,32.54961,2010,15,0,17.47,34.3,16.91,24.62,96.35,17.39,28.67,20.11
15.65761,32.54961,2010,16,0,19.39,35.15,15.95,24.75,96.37,19.2,28.78,20.13
15.65761,32.54961,2010,17,0,17.67,36.79,20.24,28.46,96.29,16.55,29.26,19.99
15.65761,32.54961,2010,18,0,17.13,32.46,20.84,26.03,96.35,11.62,28.96,19.77
15.65761,32.54961,2010,19,0,19.66,29.26,16.63,22.46,96.47,12.62,29.5,19.31
15.65761,32.54961,2010,20,0,20.43,28.64,16.42,21.63,96.57,12.22,30.19,20.51
15.65761,32.54961,2010,21,0,20.23,29.53,13.53,20.95,96.63,16,29.67,20.63
15.65761,32.54961,2010,22,0,21.66,29.88,13.44,21.1,96.53,16.44,29.48,20.74
15.65761,32.54961,2010,23,0,22.31,30.39,14.05,22.02,96.47,16.34,29.54,20.71
15.65761,32.54961,2010,24,0,16.22,31.3,14.76,22.36,96.38,16.54,30.38,20.43
15.65761,32.54961,2010,25,0,12.97,30.83,14.84,22.08,96.42,15.99,29.79,21.08
15.65761,32.54961,2010,26,0,25.55,32.13,13.92,22.21,96.36,18.21,30.46,21.17
